[17:26:23]  started.
[17:26:23] ��� started.
[17:26:23] ========================= started.
[17:26:23] System started.
[17:26:23] Registry started.
[17:26:23] smss.exe started.
[17:26:23] csrss.exe started.
[17:26:23] wininit.exe started.
[17:26:23] services.exe started.
[17:26:23] lsass.exe started.
[17:26:23] winlogon.exe started.
[17:26:23] svchost.exe started.
[17:26:23] fontdrvhost.exe started.
[17:26:23] dwm.exe started.
[17:26:23] NVDisplay.Container.exe started.
[17:26:23] spoolsv.exe started.
[17:26:23] OfficeClickToRun.exe started.
[17:26:23] gameinputsvc.exe started.
[17:26:23] jhi_service.exe started.
[17:26:23] lkads.exe started.
[17:26:23] gamingservicesnet.exe started.
[17:26:23] gamingservices.exe started.
[17:26:23] RvControlSvc.exe started.
[17:26:23] SecurityHealthService.exe started.
[17:26:23] niauth_daemon.exe started.
[17:26:23] nisvcloc.exe started.
[17:26:23] TeamViewer_Service.exe started.
[17:26:23] dasHost.exe started.
[17:26:23] vmware-authd.exe started.
[17:26:23] vmnetdhcp.exe started.
[17:26:23] vmware-usbarbitrator64.ex started.
[17:26:23] vmnat.exe started.
[17:26:23] MsMpEng.exe started.
[17:26:23] lktsrv.exe started.
[17:26:23] lkcitdl.exe started.
[17:26:23] nidmsrv.exe started.
[17:26:23] nimdnsResponder.exe started.
[17:26:23] vmware-hostd.exe started.
[17:26:23] SystemWebServer.exe started.
[17:26:23] sihost.exe started.
[17:26:23] taskhostw.exe started.
[17:26:23] MSIAfterburner.exe started.
[17:26:23] ApplicationWebServer.exe started.
[17:26:23] NIWebServiceContainer.exe started.
[17:26:23] explorer.exe started.
[17:26:23] SettingSyncHost.exe started.
[17:26:23] StartMenuExperienceHost.e started.
[17:26:23] RuntimeBroker.exe started.
[17:26:23] MoUsoCoreWorker.exe started.
[17:26:23] SearchApp.exe started.
[17:26:23] KaveXTDMonitor.exe started.
[17:26:23] NisSrv.exe started.
[17:26:23] steam.exe started.
[17:26:23] LightBulb.exe started.
[17:26:23] LCore.exe started.
[17:26:23] Telegram.exe started.
[17:26:23] TextInputHost.exe started.
[17:26:23] laclient.exe started.
[17:26:23] conhost.exe started.
[17:26:23] steamwebhelper.exe started.
[17:26:23] SgrmBroker.exe started.
[17:26:23] uhssvc.exe started.
[17:26:23] UserOOBEBroker.exe started.
[17:26:23] ShellExperienceHost.exe started.
[17:26:23] chrome.exe started.
[17:26:23] dllhost.exe started.
[17:26:23] RvRvpnGui.exe started.
[17:26:23] rundll32.exe started.
[17:26:23] idea64.exe started.
[17:26:23] fsnotifier.exe started.
[17:26:23] Microsoft.Photos.exe started.
[17:26:23] CCleaner64.exe started.
[17:26:23] powershell.exe started.
[17:26:23] audiodg.exe started.
[17:26:23] PhoneExperienceHost.exe started.
[17:26:23] java.exe started.
[17:26:23] tasklist.exe started.
[17:26:23] WmiPrvSE.exe started.
[17:26:36] RvRvpnGui.exe closed.
[17:26:39] CCleaner64.exe closed.
